ENTREZID;CDSeq_estimated_cell_type_1;CDSeq_estimated_cell_type_2;CDSeq_estimated_cell_type_3;CDSeq_estimated_cell_type_4;CDSeq_estimated_cell_type_5;CDSeq_estimated_cell_type_6
440888;7,03E+05;6,49E+08;1,91E+07;6,64E+07;1,55E+08;1,84E+08
399746;2,34E+07;3,40E+08;1,34E+08;3,76E+08;2,22E+07;3,87E+08
644773;2,11E+07;1,55E+08;5,73E+07;2,21E+06;3,33E+08;3,06E+08
653857;2,55E+09;2,75E+09;5,92E+08;4,14E+09;2,22E+07;9,58E+08
79913;1,43E+09;2,44E+09;1,59E+08;2,21E+06;1,55E+08;1,08E+09
64431;2,11E+07;3,40E+08;1,34E+08;5,09E+08;2,22E+07;4,87E+09
93973;2,98E+09;6,49E+08;1,91E+07;9,52E+08;2,59E+09;8,36E+08
140625;3,98E+08;3,09E+07;5,73E+07;6,64E+07;2,44E+08;1,37E+09
84517;2,11E+07;9,58E+08;9,56E+07;2,21E+06;6,65E+07;2,04E+07
90;9,61E+08;3,40E+08;1,72E+08;6,64E+07;5,10E+08;1,84E+08
91;7,73E+07;2,84E+09;1,40E+09;2,05E+09;1,94E+09;1,82E+09
130399;2,34E+07;2,78E+08;5,73E+07;2,15E+09;1,52E+09;3,49E+09
92;2,34E+07;1,40E+09;1,43E+09;2,48E+09;6,65E+07;9,64E+08
93;3,54E+09;5,29E+09;7,74E+09;2,86E+09;2,22E+07;7,48E+09
100128640;5,86E+08;1,58E+09;5,91E+09;6,64E+07;6,88E+08;1,84E+08
94;1,02E+09;1,33E+09;1,01E+09;1,48E+09;4,21E+07;1,02E+08
95;5,79E+09;1,02E+09;1,47E+09;1,57E+09;1,11E+07;1,57E+08
91703;1,17E+08;4,64E+08;1,91E+07;7,75E+08;1,09E+09;4,28E+08
97;1,17E+08;3,43E+09;1,43E+09;1,55E+08;4,21E+07;2,02E+09
98;6,49E+09;8,38E+09;6,63E+09;1,19E+09;1,39E+09;1,04E+09
100;2,13E+09;4,02E+08;5,73E+07;3,76E+08;2,00E+08;1,57E+08
51816;2,34E+07;2,16E+08;2,48E+08;5,09E+08;7,32E+08;2,04E+07
132612;1,38E+09;3,09E+07;2,87E+08;1,11E+07;2,22E+07;2,65E+08
161931;5,04E+09;3,09E+07;5,92E+08;2,21E+06;1,71E+09;2,87E+09
102;3,87E+08;3,06E+08;2,23E+08;1,04E+09;2,26E+09;1,81E+09
4185;7,29E+09;1,51E+09;3,96E+08;9,96E+08;4,21E+07;6,55E+09
8038;2,70E+09;5,87E+08;4,68E+09;2,44E+08;1,11E+07;1,77E+09
8751;7,03E+05;4,02E+08;1,89E+09;8,19E+08;5,10E+08;5,53E+09
6868;1,69E+08;2,04E+09;1,83E+09;1,84E+09;9,16E+09;2,10E+08
8749;5,86E+08;1,55E+08;1,72E+08;6,64E+07;2,00E+08;5,51E+08
8728;2,09E+09;1,70E+09;3,99E+09;1,55E+08;1,11E+07;7,14E+08
2515;2,34E+07;4,02E+08;1,91E+07;6,64E+07;2,88E+08;2,24E+08
8748;5,18E+09;3,09E+07;5,52E+08;3,08E+09;1,55E+08;4,55E+09
8747;4,01E+09;1,95E+09;4,01E+08;2,21E+06;2,95E+09;7,14E+08
53616;1,66E+09;2,13E+09;3,25E+08;3,50E+09;2,16E+09;1,56E+09
8745;3,07E+09;3,06E+08;8,98E+08;6,62E+08;5,74E+09;3,69E+08
10863;6,16E+09;3,09E+07;5,71E+09;3,79E+09;1,22E+09;1,84E+08
11086;1,17E+08;9,27E+07;5,73E+07;2,21E+06;2,44E+08;3,87E+08
11085;9,14E+07;3,40E+08;3,25E+08;1,11E+07;1,13E+08;1,43E+08
203102;3,05E+08;3,09E+07;5,73E+07;5,09E+08;6,65E+07;1,02E+08
80332;3,87E+08;6,58E+09;7,20E+09;4,23E+09;1,35E+09;1,40E+09
1587;1,34E+09;2,78E+08;2,87E+08;2,21E+06;1,55E+08;2,65E+08
1596;7,73E+07;4,64E+08;5,73E+07;3,76E+08;2,88E+08;8,77E+06
255926;6,80E+08;2,16E+08;9,56E+07;4,21E+08;2,22E+07;2,04E+07
8755;1,15E+09;9,27E+07;1,91E+07;2,21E+06;6,65E+07;7,95E+08
8756;1,01E+09;9,58E+08;8,98E+08;1,11E+07;2,44E+08;2,04E+07
101929315;5,86E+08;3,09E+07;1,34E+08;1,11E+07;2,22E+07;6,12E+07
101;7,90E+09;4,11E+09;2,73E+09;2,24E+09;1,11E+07;5,85E+09
8754;1,17E+08;1,04E+08;5,48E+09;4,14E+09;4,50E+08;1,18E+08
27299;1,17E+08;2,78E+08;1,91E+07;6,64E+07;6,65E+07;3,06E+08
9510;6,30E+09;7,57E+09;1,01E+09;1,62E+09;1,89E+09;0.00022489798032233999
81794;1,09E+09;4,05E+09;9,56E+07;1,44E+09;5,54E+08;2,00E+09
81792;1,43E+09;6,49E+08;8,22E+08;2,21E+06;1,75E+09;9,18E+08
11093;5,98E+08;5,26E+08;3,63E+08;3,32E+07;1,75E+09;5,57E+09
140766;5,79E+09;8,96E+08;4,01E+08;5,53E+08;2,22E+07;4,28E+08
170689;3,82E+08;6,49E+08;5,16E+08;6,64E+07;1,11E+07;1,24E+09
170690;2,32E+09;2,75E+09;6,31E+07;2,44E+08;1,53E+09;3,53E+09
101929176;2,46E+08;9,27E+07;2,48E+08;1,99E+08;9,54E+07;3,87E+08
170691;2,32E+09;4,02E+08;1,47E+09;3,32E+07;2,44E+08;5,16E+09
170692;8,20E+08;9,27E+07;1,72E+08;1,55E+08;4,66E+08;7,54E+07
171019;1,01E+09;3,09E+07;4,40E+08;5,53E+08;5,10E+08;4,69E+08
9509;5,13E+09;1,27E+09;1,01E+09;1,99E+08;3,17E+09;7,14E+08
80070;3,52E+06;3,09E+07;5,73E+07;4,65E+08;2,22E+07;5,10E+08
9508;3,05E+08;2,78E+08;2,10E+07;2,21E+06;3,77E+08;2,04E+07
9507;8,67E+08;9,27E+07;1,91E+07;2,21E+06;1,11E+07;6,32E+07
11096;9,14E+07;3,09E+07;2,87E+08;2,21E+06;1,18E+09;1,33E+09
11174;4,92E+07;3,09E+07;2,10E+07;7,31E+08;3,77E+08;7,14E+08
11173;8,09E+08;1,64E+09;1,89E+09;1,88E+09;2,91E+09;7,28E+09
11095;6,80E+08;2,16E+08;9,56E+07;7,33E+09;7,76E+08;2,79E+09
56999;2,34E+07;5,60E+09;1,91E+07;6,42E+08;2,44E+08;6,79E+09
101929335;2,34E+07;3,09E+07;1,72E+08;6,64E+07;1,11E+07;2,34E+09
