...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABLIM1,3.671865381872e-4,1.4808592298656e-4,8.49698939527169e-6,3.61226538336335e-6,1.61117030997151e-5,7.07885956541152e-5,ABLIM1,3983
ABLIM2,3.1168841320308e-4,5.83274015564816e-5,1.21385562789596e-6,6.01335943230487e-5,1.21389543901963e-5,9.00459466129173e-5,ABLIM2,84448
ABLIM3,3.02894696216161e-5,5.58254218650507e-5,3.64156688368787e-6,2.12486199021374e-7,1.0307075818584e-4,9.80698428457515e-6,ABLIM3,22885
ABO,7.357409879057e-4,1.56373730714428e-7,1.7722292167281e-5,5.5692632763502e-4,4.1029665838863e-4,6.82922723816778e-5,ABO,28
ABR,2.63811509607624e-5,6.70843304764895e-5,8.47271228271377e-5,6.90580146819464e-5,1.2779008348952e-4,6.11599201747141e-5,ABR,29
ABRA,5.86247799128054e-7,4.69121192143283e-7,4.61265138600463e-6,1.16867409461755e-5,2.20708261639933e-7,8.73713145353059e-6,ABRA,137735
ABRACL,1.50470268442867e-5,1.72011103785871e-6,2.42771125579191e-7,1.29616581403038e-5,6.40053958755806e-6,3.38786729830778e-6,ABRACL,58527
ABRAXAS1,3.71290272781101e-6,7.86559865493572e-5,7.98717003155539e-5,2.82606644698427e-5,4.17138614499473e-5,8.91544025870468e-7,ABRAXAS1,84142
ABRAXAS2,2.24728322999087e-5,2.048495872359e-5,1.69939787905434e-6,1.72113821207313e-5,6.40053958755806e-6,1.78308805174094e-7,ABRAXAS2,23172
ABT1,1.95415933042685e-7,1.40736357642985e-6,7.04036264179655e-6,4.0372377814061e-6,8.16620568067752e-6,3.38786729830778e-6,ABT1,29777
ABTB1,8.26609396770556e-5,2.9241887643598e-5,4.00572357205666e-5,4.73844223817663e-5,2.71471161817118e-5,2.76378648019845e-5,ABTB1,80325
ABTB2,1.38745312460306e-5,2.03285849928756e-6,8.01144714411331e-6,5.67338151387067e-5,2.36157839954728e-5,2.40716886985026e-5,ABTB2,25841
ABTB3,1.95415933042685e-7,6.41132295929154e-6,6.55482039063816e-6,1.16867409461755e-5,1.9863743547594e-6,1.24816163621866e-6,ABTB3,121551
ACAA1,7.23038952257933e-6,2.34560596071642e-6,1.1725845365474e-4,1.8890023093e-4,9.60080938133709e-5,1.5156248439798e-5,ACAA1,30
ACAA2,1.6317230409064e-4,4.01880487936079e-5,4.05427779717249e-5,7.01204456770533e-6,6.62124784919799e-7,2.05055125950208e-5,ACAA2,10449
ACACA,1.95415933042685e-7,3.04928774893134e-5,1.23813274045388e-5,7.03329318760747e-5,6.2460438044101e-5,6.82922723816778e-5,ACACA,31
ACACB,1.27020356477745e-5,2.4253565633807e-4,0.0032223011498126,2.12486199021374e-7,0.00107418710940155,8.4215248683724e-4,ACACB,32
ACAD10,4.82677354615431e-5,1.45427569564418e-5,5.09819363716302e-6,6.65081802936899e-5,5.89291058578621e-5,6.95404340178965e-6,ACAD10,80724
ACAD11,2.24728322999087e-5,3.86243114864637e-5,1.96644611719145e-5,1.7636354518774e-5,1.0969200603504e-4,3.74448490865597e-6,ACAD11,84129
ACAD8,1.19203719156038e-5,3.9093432678607e-6,1.21385562789596e-6,1.06243099510687e-6,2.20708261639933e-7,5.34926415522281e-7,ACAD8,27034
ACAD9,9.96621258517692e-6,7.97506026643582e-6,4.12710913484625e-6,1.55114925285603e-5,2.42779087803926e-6,5.88419057074509e-6,ACAD9,28976
ACADL,5.27623019215249e-6,7.81868653572139e-7,4.61265138600463e-6,2.12486199021374e-7,5.95912306427819e-6,2.31801446726322e-6,ACADL,33
ACADM,2.93123899564027e-6,4.69121192143283e-7,9.95361614874684e-6,1.29616581403038e-5,1.10354130819966e-6,5.34926415522281e-7,ACADM,34
ACADS,1.95415933042685e-7,2.97110088357413e-6,4.24849469763585e-5,4.56845327895953e-5,3.15612814145104e-5,1.94356597639762e-5,ACADS,35
ACADSB,1.95415933042685e-7,1.40736357642985e-6,1.21385562789596e-6,5.73712737357709e-6,1.3021787436756e-5,5.34926415522281e-7,ACADSB,36
ACADVL,1.75874339738416e-6,3.28384834500298e-6,4.61265138600463e-6,1.55114925285603e-5,2.53814500885923e-5,2.33584534778063e-5,ACADVL,37
ACAN,9.12592407309338e-5,1.82957264935881e-5,3.64156688368787e-6,7.58575730506304e-5,4.83351092991453e-5,3.049080568477e-5,ACAN,176
ACAP1,8.69600902039947e-5,7.34956534357811e-6,3.95716934694082e-5,7.96823246330151e-5,5.2749274531944e-5,1.97922773743244e-5,ACAP1,9744
ACAP2,1.8388639299316e-4,1.4589669075656e-4,6.62765172831192e-5,7.16078490702029e-5,6.62124784919799e-7,4.5825362929742e-5,ACAP2,23527
ACAP3,2.71628146929332e-5,1.29790196492975e-5,9.95361614874684e-6,2.69857472757144e-5,2.42779087803926e-6,1.78308805174094e-7,ACAP3,116983
ACAT1,9.77079665213423e-7,1.48555044178706e-5,8.01144714411331e-6,3.84600020228686e-5,7.52615172192172e-5,2.6746320776114e-6,ACAT1,38
ACAT2,1.77828499068843e-5,3.59659580643184e-6,5.5837358883214e-6,2.12486199021374e-7,2.49400335653124e-5,5.17095535004871e-6,ACAT2,39
ACBD3,1.95415933042685e-7,3.39330995650308e-5,4.39415737298336e-5,5.9708621925006e-5,8.45312642080943e-5,1.12334547259679e-5,ACBD3,64746
ACBD4,3.34161245502991e-5,2.34560596071642e-6,2.42771125579191e-7,2.76232058727786e-6,1.10354130819966e-6,5.88419057074509e-6,ACBD4,79777
ACBD5,5.86247799128054e-7,3.7998816563606e-5,9.68656791060973e-5,9.56187895596181e-6,1.69945361462748e-5,2.6746320776114e-6,ACBD5,91452
ACBD6,2.67719828268478e-5,1.76702315707303e-5,1.91789189207561e-5,5.31215497553434e-6,1.47874535298755e-5,3.38786729830778e-6,ACBD6,84320
ACCS,2.93123899564027e-6,4.69121192143283e-7,1.48090386603307e-5,7.16078490702029e-5,2.3174367472193e-5,5.34926415522281e-7,ACCS,84680
ACD,3.32207086172564e-6,4.84758565214726e-6,3.15602463252949e-6,1.48740339314961e-6,2.20708261639933e-7,1.78308805174094e-7,ACD,65057
ACE,8.40288512083544e-6,2.34560596071642e-6,1.21385562789596e-6,1.4236575334432e-5,2.18501179023534e-5,1.60477924656684e-6,ACE,1636
ACE2,3.32207086172564e-6,2.03285849928756e-6,2.42771125579191e-7,6.37458597064121e-7,6.62124784919799e-7,5.88419057074509e-6,ACE2,59272
ACER1,1.36791153129879e-6,4.69121192143283e-7,4.61265138600463e-6,4.88718257749159e-6,3.310623924599e-6,1.19466899466643e-5,ACER1,125981
ACER2,1.75874339738416e-6,8.91330265072238e-6,5.5837358883214e-6,6.37458597064121e-7,6.62124784919799e-7,8.91544025870468e-7,ACER2,340485
ACER3,1.2330745374993e-4,2.7130842278953e-4,1.5367412249162e-4,6.37458597064121e-7,2.20708261639933e-7,1.7955696681031e-4,ACER3,55331
ACHE,8.85234176683362e-5,1.76702315707303e-5,3.66584399624579e-5,1.08367961500901e-5,1.9863743547594e-6,2.6746320776114e-6,ACHE,43
ACIN1,1.66103543086282e-5,2.03285849928756e-6,1.67512076649642e-5,4.10098364111251e-5,1.10354130819966e-6,1.47996308294498e-5,ACIN1,22985
ACKR1,2.24728322999087e-5,1.56373730714428e-7,1.7722292167281e-5,4.88718257749159e-6,1.56702865764352e-5,1.78308805174094e-7,ACKR1,2532
ACKR2,2.98986377555308e-5,3.9093432678607e-6,1.62656654138058e-5,2.01861889070305e-5,1.87602022393943e-5,5.17095535004871e-6,ACKR2,1238
ACKR3,6.4487257904086e-6,5.16033311357612e-6,1.96644611719145e-5,1.67864097226885e-5,2.80299492282715e-5,8.91544025870468e-7,ACKR3,57007
ACKR4,1.95415933042685e-7,9.22605011215124e-6,6.06927813947978e-6,3.61226538336335e-6,2.20708261639933e-7,1.15900723363161e-5,ACKR4,51554
ACLY,3.671865381872e-4,1.6403604351943e-4,2.133958193841e-4,7.58575730506304e-5,1.9135406284182e-4,4.47555100986975e-5,ACLY,47
ACMSD,1.95415933042685e-7,2.97110088357413e-6,2.42771125579191e-7,2.12486199021374e-7,3.75204044787886e-6,1.78308805174094e-7,ACMSD,130013
ACO1,1.36791153129879e-6,4.69121192143283e-7,1.86933766695977e-5,1.72113821207313e-5,4.19345697115873e-6,1.60477924656684e-6,ACO1,48
ACO2,2.05186729694819e-5,4.53483819071841e-6,5.09819363716302e-6,1.89112717129022e-5,1.78773691928346e-5,5.34926415522281e-7,ACO2,50
ACOD1,6.05789392432323e-6,1.72011103785871e-6,2.18494013021272e-6,2.33734818923511e-6,6.62124784919799e-7,5.34926415522281e-7,ACOD1,730249
ACOT11,5.29577178545676e-5,3.9093432678607e-6,3.76295244647746e-5,1.2812917800988e-4,4.17138614499473e-5,6.61525667195887e-5,ACOT11,26027
ACOT12,5.86247799128054e-7,4.69121192143283e-7,3.15602463252949e-6,2.12486199021374e-7,3.75204044787886e-6,1.24816163621866e-6,ACOT12,134526
ACOT13,1.95415933042685e-7,2.97110088357413e-6,1.86933766695977e-5,2.2736023295287e-5,2.20708261639933e-7,1.19466899466643e-5,ACOT13,55856
ACOT2,4.10373459389638e-6,1.72011103785871e-6,2.42771125579191e-7,6.37458597064121e-7,6.62124784919799e-7,2.6746320776114e-6,ACOT2,10965
