...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ACAN,6.65339793204487e-5,2.69911943927413e-6,8.48540288136461e-5,6.39706436347077e-6,1.0639276512002e-4,1.96518169676932e-7,ACAN,176
ACAP1,1.3416587909173e-4,2.21327794020479e-5,2.1978584512387e-5,1.44526268952488e-5,8.36096679428067e-5,9.8259084838466e-7,ACAP1,9744
ACAP2,1.53708863116548e-6,9.23098848231753e-5,1.4105243478202e-4,1.6324360542338e-4,7.54421425396533e-5,9.5311312293312e-5,ACAP2,23527
ACAP3,3.31571976151411e-5,1.25958907166126e-6,1.94746951375581e-6,2.62990423831576e-5,3.24551667335831e-5,1.96518169676932e-7,ACAP3,116983
ACAT1,1.09792045083249e-6,1.06165364611449e-5,6.95524826341361e-6,6.51552851834986e-5,4.36317804431613e-5,3.59628250508786e-5,ACAT1,38
ACAT2,1.97625681149848e-6,1.88938360749189e-5,2.14221646513139e-5,7.1078492927453e-7,3.65389294351597e-6,9.2363539748158e-6,ACAT2,39
ACBD3,9.88128405749238e-6,3.61682004862734e-5,3.06030923590199e-6,3.81454578710665e-5,2.25681622981869e-5,6.22962597875874e-5,ACBD3,64746
ACBD4,2.19584090166497e-7,2.33923684737091e-6,2.53171036788256e-5,5.92320774395442e-6,7.0928510080016e-6,1.08084993322313e-5,ACBD4,79777
ACBD5,1.09792045083249e-6,1.52950101558867e-5,5.36945165935531e-5,6.87092098298713e-6,2.14934879030351e-7,6.89778775566031e-5,ACBD5,91452
ACBD6,5.48960225416244e-6,1.60147753396932e-5,8.06808798555979e-6,3.24591784368702e-5,1.52603764111549e-5,5.69902692063103e-6,ACBD6,84320
ACCS,2.52521703691472e-5,2.33923684737091e-6,1.08501872909252e-5,3.38807482954193e-5,8.3824602821837e-6,1.78831534406008e-5,ACCS,84680
ACD,2.19584090166497e-7,1.79941295951609e-7,4.72956881912126e-6,2.60621140733994e-6,5.37337197575878e-6,1.96518169676932e-7,ACD,65057
ACE,1.95429840248183e-5,4.49853239879022e-6,3.06030923590199e-6,3.0800680268563e-6,8.81233004024441e-6,9.8259084838466e-7,ACE,1636
ACE2,1.53708863116548e-6,5.39823887854826e-7,5.84240854126744e-6,4.97549450492171e-6,6.44804637091054e-7,2.55473620580012e-6,ACE2,59272
ACER1,6.58752270499492e-7,2.69911943927413e-6,4.17314895804817e-6,1.25572004171834e-5,3.22402318545527e-6,4.51991790256944e-6,ACER1,125981
ACER2,4.61126589349645e-6,1.61947166356448e-6,2.78209930536545e-7,5.44935112443807e-6,3.65389294351597e-6,3.73384522386171e-6,ACER2,340485
ACER3,7.04864929434457e-5,1.1174354478594e-4,1.4884231283705e-4,2.5280250651197e-4,5.37337197575878e-6,1.6762999873442e-4,ACER3,55331
ACHE,4.7210579385797e-5,1.79941295951609e-7,4.53482186774568e-5,2.8194468861223e-5,3.63239945561294e-5,2.94777254515398e-6,ACHE,43
ACIN1,3.73292953283046e-6,3.41888462308057e-6,2.42042639566794e-5,2.36928309758177e-7,4.75006082657077e-5,2.16169986644625e-6,ACIN1,22985
ACKR1,9.0029476968264e-6,1.25958907166126e-6,3.06030923590199e-6,1.18464154879088e-6,2.3857771572369e-5,3.34080888450784e-6,ACKR1,2532
ACKR2,5.48960225416244e-6,4.85841499069344e-6,3.75583406224335e-5,7.1078492927453e-7,3.33149062497045e-5,9.62939031416967e-6,ACKR2,1238
ACKR3,3.73292953283046e-6,5.2182975825966504e-06,1.14066071519983e-5,2.0138906329445e-5,2.08486832659441e-5,4.12688156321557e-6,ACKR3,57007
ACKR4,4.61126589349645e-6,9.17700609353205e-6,3.75583406224335e-5,4.50163788540536e-6,2.14934879030351e-7,2.16169986644625e-6,ACKR4,51554
ACLY,4.1786852358684e-4,2.078321968241e-4,1.08501872909252e-5,5.66258660322042e-5,9.24219979830511e-6,3.3860080635335e-4,ACLY,47
ACMSD,1.09792045083249e-6,8.99706479758044e-7,2.78209930536545e-7,2.36928309758177e-7,3.65389294351597e-6,5.89554509030796e-7,ACMSD,130013
ACO1,1.16379567788244e-5,1.96136012587254e-5,1.94746951375581e-6,4.02778126588901e-6,2.14934879030351e-7,1.96518169676932e-7,ACO1,48
ACO2,6.58752270499492e-7,5.93806276640309e-6,3.4219821455995e-5,5.44935112443807e-6,4.06226921367364e-5,1.96518169676932e-7,ACO2,50
ACOD1,1.53708863116548e-6,1.79941295951609e-7,1.94746951375581e-6,3.55392464637265e-6,6.23311149188019e-6,1.96518169676932e-7,ACOD1,730249
ACOT11,1.6359014717404e-4,3.77876721498378e-6,1.08501872909252e-5,5.99428623688187e-5,4.06226921367364e-5,1.1594572010939e-5,ACOT11,26027
ACOT12,1.97625681149848e-6,8.99706479758044e-7,8.34629791609634e-7,2.36928309758177e-7,2.14934879030351e-7,3.34080888450784e-6,ACOT12,134526
ACOT13,1.07596204181584e-5,8.81712350162883e-6,8.34629791609634e-7,3.4828461534452e-5,1.01019393144265e-5,1.96518169676932e-7,ACOT13,55856
ACOT2,2.19584090166497e-7,5.39823887854826e-7,6.95524826341361e-6,7.1078492927453e-7,3.65389294351597e-6,1.96518169676932e-7,ACOT2,10965
