...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABHD10,2.58184678157129e-5,1.94342004614457e-7,9.7128475674738e-6,2.94937776653339e-5,4.96776884445967e-5,4.92244966737977e-5,ABHD10,55347
ABHD11,6.11882763262559e-6,4.02287949551925e-5,1.37786907352535e-5,1.89237532997229e-5,1.03424539082607e-5,9.13515077806758e-5,ABHD11,83451
ABHD12,4.02947185563149e-6,5.5776155324349e-5,5.17265603011977e-5,6.64888629449725e-6,2.96709743269775e-5,2.77030888257187e-5,ABHD12,26090
ABHD12B,1.49239698356722e-7,1.94342004614457e-7,6.77640527963288e-7,8.52421319807339e-7,2.54322637088379e-6,1.57976291650793e-5,ABHD12B,145447
ABHD13,3.73099245891804e-6,5.63591813381924e-6,2.48468193586539e-6,5.11452791884403e-7,1.23770350049678e-5,1.14475573659995e-6,ABHD13,84945
ABHD14A,2.83555426877771e-6,3.63419548629034e-5,6.77640527963288e-7,7.67179187826605e-6,1.69548424725586e-7,2.49556750578788e-5,ABHD14A,25864
ABHD14B,1.3431572852105e-6,2.13776205075902e-6,6.77640527963288e-7,2.21629543149908e-6,1.52593582253027e-6,1.14475573659995e-6,ABHD14B,84836
ABHD15,4.47719095070165e-7,6.02460214304815e-6,5.64700439969407e-6,1.70484263961468e-7,8.47742123627929e-7,2.28951147319989e-7,ABHD15,116236
ABHD16A,1.3431572852105e-6,4.45043190567105e-5,9.26108721549827e-6,2.50611868023358e-5,2.59409089830146e-5,3.77769393077983e-5,ABHD16A,7920
ABHD16B,1.04467788849705e-6,8.35670619842163e-6,3.38820263981644e-6,5.96694923865137e-6,8.47742123627929e-7,3.68611347185183e-5,ABHD16B,140701
ABHD17A,1.64163668192394e-6,9.52275822610837e-6,3.83996299179197e-6,3.92113807111376e-6,8.47742123627929e-7,2.06056032587991e-6,ABHD17A,81926
ABHD17B,3.92500406678178e-5,4.08118209690359e-6,1.37786907352535e-5,8.77993959401559e-5,1.61071003489307e-5,1.0050955367347e-4,ABHD17B,51104
ABHD17C,1.49239698356722e-7,7.19065417073489e-6,6.77640527963288e-7,1.17634142133413e-5,1.44116161016748e-5,8.47119245083961e-6,ABHD17C,58489
ABHD18,6.01435984377588e-5,8.60935080442043e-5,3.38820263981644e-6,5.2850121828055e-6,7.30753710567275e-5,3.73190370131583e-5,ABHD18,80167
ABHD2,3.4668381928266e-4,1.37982823276264e-5,1.1226244746591e-4,1.3485305279352e-4,3.8199260090674e-4,4.1966745303754e-4,ABHD2,11057
ABHD3,2.53707487206427e-6,4.08118209690359e-6,1.06163682714248e-5,1.53435837565321e-6,8.47742123627929e-7,1.16765085133195e-5,ABHD3,171586
ABHD4,7.01426582276592e-6,9.13407421687946e-6,2.25880175987763e-7,1.87532690357615e-6,3.5605169192373e-6,8.47119245083961e-6,ABHD4,63874
ABHD5,4.96968195527883e-5,7.19065417073489e-6,2.1910377070813e-5,4.60307512695963e-6,3.5605169192373e-6,6.84563930486768e-5,ABHD5,51099
ABHD6,8.28280325879805e-5,4.06174789644214e-5,1.58116123191434e-6,1.8974898578911e-4,2.89927806280752e-5,1.14475573659995e-6,ABHD6,57406
ABHD8,1.04467788849705e-6,1.53530183645421e-5,3.83996299179197e-6,8.01276040618899e-6,1.69548424725586e-7,6.86853441959968e-7,ABHD8,79575
ABI1,1.1416836924289e-4,2.4623131984651e-4,4.04325515018095e-5,1.9759126193134e-4,1.5784958341952e-4,5.01403012630777e-5,ABI1,10006
ABI2,0.00108601728494186,2.9909234510164e-4,5.9293546196787e-4,3.7353102233957e-4,4.871126242366e-4,6.06720540397972e-5,ABI2,10152
ABI3,1.94011607863738e-6,4.10061629736503e-5,2.77832616464948e-5,1.10814771574954e-5,3.89961376868848e-6,1.60265803123993e-6,ABI3,51225
ABI3BP,1.02975391866138e-5,1.94342004614457e-7,8.35756651154722e-6,1.70484263961468e-7,1.69548424725586e-7,1.16765085133195e-5,ABI3BP,25890
ABITRAM,2.40275914354322e-5,7.96802218919272e-6,1.12940087993881e-6,8.52421319807339e-7,8.30787281155371e-6,3.77769393077983e-5,ABITRAM,54942
ABL1,8.50666280633314e-6,7.19065417073489e-6,4.74348369574302e-6,2.3697312690644e-5,7.62967911265136e-6,5.70088356826774e-5,ABL1,25
ABL2,1.62671271208827e-5,4.08118209690359e-6,2.23621374227885e-5,2.0679741218526e-4,4.52694294017314e-5,1.1836774316443e-4,ABL2,27
ABLIM1,1.1476532803631e-4,7.01574636658188e-5,1.827370623741e-4,1.14224456854183e-5,1.7446532904262e-4,5.72377868299974e-6,ABLIM1,3983
ABLIM2,4.52196286020867e-5,1.035842884595e-4,2.55244598866172e-5,9.15500497473082e-5,4.18784609072197e-5,2.5299101778858e-4,ABLIM2,84448
ABLIM3,5.29800929166362e-5,3.40098508075299e-5,2.14586167188375e-5,1.58550365484165e-5,1.98371656928935e-5,2.99926002989186e-5,ABLIM3,22885
